,group,axis,value,description
21,Clinically isolated syndrome,Blindness/Blurry Vision,39.08045977011494,[symptoms2]:Blindness or blurry vision in one eye or both (Blindness1)
22,Relapsing remitting,Blindness/Blurry Vision,64.87956487956488,[symptoms2]:Blindness or blurry vision in one eye or both (Blindness1)
23,Secondary progressive,Blindness/Blurry Vision,71.46171693735499,[symptoms2]:Blindness or blurry vision in one eye or both (Blindness1)
24,Primary progressive,Blindness/Blurry Vision,40.69767441860465,[symptoms2]:Blindness or blurry vision in one eye or both (Blindness1)
25,Not Sure,Blindness/Blurry Vision,62.5,[symptoms2]:Blindness or blurry vision in one eye or both (Blindness1)
26,Clinically isolated syndrome,Disturbed Vision,24.137931034482758,"[symptoms2]:Disturbed vision e.g. double vision, objects moving, etc. (Disturbedvision)"
27,Relapsing remitting,Disturbed Vision,58.81895881895882,"[symptoms2]:Disturbed vision e.g. double vision, objects moving, etc. (Disturbedvision)"
28,Secondary progressive,Disturbed Vision,63.80510440835266,"[symptoms2]:Disturbed vision e.g. double vision, objects moving, etc. (Disturbedvision)"
29,Primary progressive,Disturbed Vision,42.248062015503876,"[symptoms2]:Disturbed vision e.g. double vision, objects moving, etc. (Disturbedvision)"
30,Not Sure,Disturbed Vision,56.25,"[symptoms2]:Disturbed vision e.g. double vision, objects moving, etc. (Disturbedvision)"
31,Clinically isolated syndrome,Numbness or Painful Feeling,82.75862068965517,"[symptoms2]:Sensory symptoms: Loss of feeling, painful feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11)"
32,Relapsing remitting,Numbness or Painful Feeling,95.02719502719502,"[symptoms2]:Sensory symptoms: Loss of feeling, painful feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11)"
33,Secondary progressive,Numbness or Painful Feeling,95.35962877030161,"[symptoms2]:Sensory symptoms: Loss of feeling, painful feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11)"
34,Primary progressive,Numbness or Painful Feeling,90.69767441860465,"[symptoms2]:Sensory symptoms: Loss of feeling, painful feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11)"
35,Not Sure,Numbness or Painful Feeling,92.1875,"[symptoms2]:Sensory symptoms: Loss of feeling, painful feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11)"
36,Clinically isolated syndrome,Sensory Pain,78.16091954022988,[symptoms2]:Painful sensations (Sensory11Pain)
37,Relapsing remitting,Sensory Pain,88.34498834498834,[symptoms2]:Painful sensations (Sensory11Pain)
38,Secondary progressive,Sensory Pain,90.02320185614849,[symptoms2]:Painful sensations (Sensory11Pain)
39,Primary progressive,Sensory Pain,84.88372093023256,[symptoms2]:Painful sensations (Sensory11Pain)
40,Not Sure,Sensory Pain,85.9375,[symptoms2]:Painful sensations (Sensory11Pain)
41,Clinically isolated syndrome,Sensory Symptoms (not pain),94.25287356321839,"[symptoms2]:Sensory symptoms (excluding pain): Loss of feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11_NoPain)"
42,Relapsing remitting,Sensory Symptoms (not pain),96.42579642579643,"[symptoms2]:Sensory symptoms (excluding pain): Loss of feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11_NoPain)"
43,Secondary progressive,Sensory Symptoms (not pain),97.4477958236659,"[symptoms2]:Sensory symptoms (excluding pain): Loss of feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11_NoPain)"
44,Primary progressive,Sensory Symptoms (not pain),91.86046511627907,"[symptoms2]:Sensory symptoms (excluding pain): Loss of feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11_NoPain)"
45,Not Sure,Sensory Symptoms (not pain),98.4375,"[symptoms2]:Sensory symptoms (excluding pain): Loss of feeling, unable to feel position of fingers/arms/legs, swollen feeling, numbness, tingling, feeling of pinpricks (Sensory11_NoPain)"
